Tanggal,Harga
2021-03-09,120000.0
2021-03-10,120000.0
2021-03-11,120000.0
2021-03-12,120000.0
2021-03-13,120000.0
2021-03-14,120000.0
2021-03-15,125000.0
2021-03-16,125000.0
2021-03-17,125000.0
2021-03-18,125000.0
2021-03-19,125000.0
2021-03-20,125000.0
2021-03-21,125000.0
2021-03-22,125000.0
2021-03-23,125000.0
2021-03-24,125000.0
2021-03-25,125000.0
2021-03-26,120000.0
2021-03-27,120000.0
2021-03-28,120000.0
2021-03-29,120000.0
2021-03-30,120000.0
2021-03-31,120000.0
2021-04-01,120000.0
2021-04-02,120000.0
2021-04-03,120000.0
2021-04-04,120000.0
2021-04-05,120000.0
2021-04-06,120000.0
2021-04-07,120000.0
2021-04-08,120000.0
2021-04-09,120000.0
2021-04-10,125000.0
2021-04-11,130000.0
2021-04-12,140000.0
2021-04-13,140000.0
2021-04-14,130000.0
2021-04-15,130000.0
2021-04-16,130000.0
2021-04-17,130000.0
2021-04-18,125000.0
2021-04-19,125000.0
2021-04-20,125000.0
2021-04-21,125000.0
2021-04-22,125000.0
2021-04-23,120000.0
2021-04-24,120000.0
2021-04-25,120000.0
2021-04-26,120000.0
2021-04-27,120000.0
2021-04-28,120000.0
2021-04-29,120000.0
2021-04-30,120000.0
2021-05-01,120000.0
2021-05-02,120000.0
2021-05-03,120000.0
2021-05-04,120000.0
2021-05-05,120000.0
2021-05-06,120000.0
2021-05-07,120000.0
2021-05-08,125000.0
2021-05-09,130000.0
2021-05-10,130000.0
2021-05-11,130000.0
2021-05-12,130000.0
2021-05-13,135000.0
2021-05-14,140000.0
2021-05-15,140000.0
2021-05-16,135000.0
2021-05-17,130000.0
2021-05-18,130000.0
2021-05-19,125000.0
2021-05-20,125000.0
2021-05-21,125000.0
2021-05-22,125000.0
2021-05-23,125000.0
2021-05-24,125000.0
2021-05-25,125000.0
2021-05-26,125000.0
2021-05-27,125000.0
2021-05-28,125000.0
2021-05-29,125000.0
2021-05-30,125000.0
2021-05-31,125000.0
2021-06-01,125000.0
2021-06-02,125000.0
2021-06-03,120000.0
2021-06-04,120000.0
2021-06-05,120000.0
2021-06-06,120000.0
2021-06-07,120000.0
2021-06-08,120000.0
2021-06-09,120000.0
2021-06-10,120000.0
2021-06-11,120000.0
2021-06-12,120000.0
2021-06-13,120000.0
2021-06-14,120000.0
2021-06-15,120000.0
2021-06-16,120000.0
2021-06-17,120000.0
2021-06-18,120000.0
2021-06-19,120000.0
2021-06-20,120000.0
2021-06-21,120000.0
2021-06-22,120000.0
2021-06-23,120000.0
2021-06-24,120000.0
2021-06-25,120000.0
2021-06-26,120000.0
2021-06-27,120000.0
2021-06-28,120000.0
2021-06-29,120000.0
2021-06-30,120000.0
2021-07-01,120000.0
2021-07-02,120000.0
2021-07-03,120000.0
2021-07-04,120000.0
2021-07-05,120000.0
2021-07-06,120000.0
2021-07-07,120000.0
2021-07-08,120000.0
2021-07-09,120000.0
2021-07-10,120000.0
2021-07-11,120000.0
2021-07-12,120000.0
2021-07-13,120000.0
2021-07-14,120000.0
2021-07-15,120000.0
2021-07-16,120000.0
2021-07-17,120000.0
2021-07-18,120000.0
2021-07-19,120000.0
2021-07-20,120000.0
2021-07-21,120000.0
2021-07-22,120000.0
2021-07-23,120000.0
2021-07-24,120000.0
2021-07-25,120000.0
2021-07-26,120000.0
2021-07-27,120000.0
2021-07-28,120000.0
2021-07-29,120000.0
2021-07-30,120000.0
2021-07-31,120000.0
2021-08-01,120000.0
2021-08-02,120000.0
2021-08-03,120000.0
2021-08-04,120000.0
2021-08-05,120000.0
2021-08-06,120000.0
2021-08-07,120000.0
2021-08-08,120000.0
2021-08-09,120000.0
2021-08-10,120000.0
2021-08-11,120000.0
2021-08-12,120000.0
2021-08-13,120000.0
2021-08-14,120000.0
2021-08-15,120000.0
2021-08-16,120000.0
2021-08-17,120000.0
2021-08-18,120000.0
2021-08-19,120000.0
2021-08-20,120000.0
2021-08-21,120000.0
2021-08-22,120000.0
2021-08-23,120000.0
2021-08-24,120000.0
2021-08-25,120000.0
2021-08-26,120000.0
2021-08-27,120000.0
2021-08-28,120000.0
2021-08-29,120000.0
2021-08-30,120000.0
2021-08-31,120000.0
2021-09-01,120000.0
2021-09-02,120000.0
2021-09-03,120000.0
2021-09-04,120000.0
2021-09-05,120000.0
2021-09-06,120000.0
2021-09-07,120000.0
2021-09-08,120000.0
2021-09-09,120000.0
2021-09-10,120000.0
2021-09-11,120000.0
2021-09-12,120000.0
2021-09-13,120000.0
2021-09-14,120000.0
2021-09-15,120000.0
2021-09-16,120000.0
2021-09-17,120000.0
2021-09-18,120000.0
2021-09-19,120000.0
2021-09-20,120000.0
2021-09-21,120000.0
2021-09-22,120000.0
2021-09-23,120000.0
2021-09-24,120000.0
2021-09-25,120000.0
2021-09-26,120000.0
2021-09-27,120000.0
2021-09-28,120000.0
2021-09-29,120000.0
2021-09-30,120000.0
2021-10-01,120000.0
2021-10-02,120000.0
2021-10-03,120000.0
2021-10-04,120000.0
2021-10-05,120000.0
2021-10-06,120000.0
2021-10-07,120000.0
2021-10-08,120000.0
2021-10-09,120000.0
2021-10-10,120000.0
2021-10-11,120000.0
2021-10-12,120000.0
2021-10-13,120000.0
2021-10-14,120000.0
2021-10-15,120000.0
2021-10-16,120000.0
2021-10-17,120000.0
2021-10-18,120000.0
2021-10-19,120000.0
2021-10-20,120000.0
2021-10-21,120000.0
2021-10-22,120000.0
2021-10-23,120000.0
2021-10-24,120000.0
2021-10-25,120000.0
2021-10-26,120000.0
2021-10-27,120000.0
2021-10-28,120000.0
2021-10-29,120000.0
2021-10-30,120000.0
2021-10-31,120000.0
2021-11-01,120000.0
2021-11-02,120000.0
2021-11-03,120000.0
2021-11-04,120000.0
2021-11-05,120000.0
2021-11-06,120000.0
2021-11-07,120000.0
2021-11-08,120000.0
2021-11-09,120000.0
2021-11-10,120000.0
2021-11-11,120000.0
2021-11-12,120000.0
2021-11-13,120000.0
2021-11-14,120000.0
2021-11-15,120000.0
2021-11-16,120000.0
2021-11-17,120000.0
2021-11-18,120000.0
2021-11-19,120000.0
2021-11-20,120000.0
2021-11-21,120000.0
2021-11-22,120000.0
2021-11-23,120000.0
2021-11-24,120000.0
2021-11-25,120000.0
2021-11-26,120000.0
2021-11-27,120000.0
2021-11-28,120000.0
2021-11-29,120000.0
2021-11-30,120000.0
2021-12-01,120000.0
2021-12-02,120000.0
2021-12-03,120000.0
2021-12-04,120000.0
2021-12-05,120000.0
2021-12-06,120000.0
2021-12-07,120000.0
2021-12-08,120000.0
2021-12-09,120000.0
2021-12-10,120000.0
2021-12-11,120000.0
2021-12-12,120000.0
2021-12-13,120000.0
2021-12-14,120000.0
2021-12-15,120000.0
2021-12-16,120000.0
2021-12-17,120000.0
2021-12-18,120000.0
2021-12-19,120000.0
2021-12-20,120000.0
2021-12-21,120000.0
2021-12-22,120000.0
2021-12-23,120000.0
2021-12-24,120000.0
2021-12-25,120000.0
2021-12-26,120000.0
2021-12-27,120000.0
2021-12-28,120000.0
2021-12-29,120000.0
2021-12-30,120000.0
2021-12-31,120000.0
2022-01-01,120000.0
2022-01-02,120000.0
2022-01-03,120000.0
2022-01-04,120000.0
2022-01-05,120000.0
2022-01-06,120000.0
2022-01-07,120000.0
2022-01-08,120000.0
2022-01-09,120000.0
2022-01-10,120000.0
2022-01-11,120000.0
2022-01-12,120000.0
2022-01-13,120000.0
2022-01-14,120000.0
2022-01-15,120000.0
2022-01-16,120000.0
2022-01-17,120000.0
2022-01-18,120000.0
2022-01-19,120000.0
2022-01-20,120000.0
2022-01-21,120000.0
2022-01-22,120000.0
2022-01-23,120000.0
2022-01-24,120000.0
2022-01-25,120000.0
2022-01-26,120000.0
2022-01-27,120000.0
2022-01-28,120000.0
2022-01-29,120000.0
2022-01-30,120000.0
2022-01-31,120000.0
2022-02-01,120000.0
2022-02-02,120000.0
2022-02-03,120000.0
2022-02-04,120000.0
2022-02-05,120000.0
2022-02-06,120000.0
2022-02-07,120000.0
2022-02-08,120000.0
2022-02-09,120000.0
2022-02-10,120000.0
2022-02-11,120000.0
2022-02-12,120000.0
2022-02-13,120000.0
2022-02-14,120000.0
2022-02-15,120000.0
2022-02-16,120000.0
2022-02-17,120000.0
2022-02-18,120000.0
2022-02-19,120000.0
2022-02-20,120000.0
2022-02-21,120000.0
2022-02-22,120000.0
2022-02-23,120000.0
2022-02-24,120000.0
2022-02-25,122000.0
2022-02-26,125000.0
2022-02-27,130000.0
2022-02-28,130000.0
2022-03-01,130000.0
2022-03-02,130000.0
2022-03-03,130000.0
2022-03-04,127500.0
2022-03-05,125000.0
2022-03-06,125000.0
2022-03-07,125000.0
2022-03-08,125000.0
2022-03-09,125000.0
2022-03-10,125000.0
2022-03-11,125000.0
2022-03-12,125000.0
2022-03-13,125000.0
2022-03-14,125000.0
2022-03-15,120000.0
2022-03-16,120000.0
2022-03-17,120000.0
2022-03-18,120000.0
2022-03-19,120000.0
2022-03-20,120000.0
2022-03-21,122500.0
2022-03-22,125000.0
2022-03-23,125000.0
2022-03-24,125000.0
2022-03-25,125000.0
2022-03-26,125000.0
2022-03-27,125000.0
2022-03-28,125000.0
2022-03-29,125000.0
2022-03-30,130000.0
2022-03-31,130000.0
2022-04-01,130000.0
2022-04-02,130000.0
2022-04-03,130000.0
2022-04-04,130000.0
2022-04-05,130000.0
2022-04-06,130000.0
2022-04-07,130000.0
2022-04-08,130000.0
2022-04-09,130000.0
2022-04-10,130000.0
2022-04-11,130000.0
2022-04-12,130000.0
2022-04-13,130000.0
2022-04-14,125000.0
2022-04-15,125000.0
2022-04-16,125000.0
2022-04-17,130000.0
2022-04-18,130000.0
2022-04-19,130000.0
2022-04-20,130000.0
2022-04-21,130000.0
2022-04-22,130000.0
2022-04-23,130000.0
2022-04-24,130000.0
2022-04-25,130000.0
2022-04-26,130000.0
2022-04-27,130000.0
2022-04-28,130000.0
2022-04-29,135000.0
2022-04-30,140000.0
2022-05-01,140000.0
2022-05-02,140000.0
2022-05-03,135000.0
2022-05-04,130000.0
2022-05-05,130000.0
2022-05-06,130000.0
2022-05-07,130000.0
2022-05-08,130000.0
2022-05-09,130000.0
2022-05-10,130000.0
2022-05-11,130000.0
2022-05-12,130000.0
2022-05-13,130000.0
2022-05-14,130000.0
2022-05-15,130000.0
2022-05-16,130000.0
2022-05-17,130000.0
2022-05-18,130000.0
2022-05-19,130000.0
2022-05-20,130000.0
2022-05-21,130000.0
2022-05-22,130000.0
2022-05-23,130000.0
2022-05-24,130000.0
2022-05-25,130000.0
2022-05-26,130000.0
2022-05-27,130000.0
2022-05-28,130000.0
2022-05-29,130000.0
2022-05-30,130000.0
2022-05-31,130000.0
2022-06-01,130000.0
2022-06-02,130000.0
2022-06-03,130000.0
2022-06-04,130000.0
2022-06-05,130000.0
2022-06-06,130000.0
2022-06-07,130000.0
2022-06-08,130000.0
2022-06-09,130000.0
2022-06-10,130000.0
2022-06-11,130000.0
2022-06-12,130000.0
2022-06-13,130000.0
2022-06-14,130000.0
2022-06-15,130000.0
2022-06-16,130000.0
2022-06-17,130000.0
2022-06-18,130000.0
2022-06-19,130000.0
2022-06-20,130000.0
2022-06-21,130000.0
2022-06-22,130000.0
2022-06-23,130000.0
2022-06-24,130000.0
2022-06-25,130000.0
2022-06-26,130000.0
2022-06-27,130000.0
2022-06-28,130000.0
2022-06-29,130000.0
2022-06-30,130000.0
2022-07-01,130000.0
2022-07-02,130000.0
2022-07-03,130000.0
2022-07-04,130000.0
2022-07-05,130000.0
2022-07-06,130000.0
2022-07-07,130000.0
2022-07-08,130000.0
2022-07-09,130000.0
2022-07-10,130000.0
2022-07-11,130000.0
2022-07-12,130000.0
2022-07-13,130000.0
2022-07-14,130000.0
2022-07-15,130000.0
2022-07-16,130000.0
2022-07-17,130000.0
2022-07-18,130000.0
2022-07-19,130000.0
2022-07-20,130000.0
2022-07-21,130000.0
2022-07-22,130000.0
2022-07-23,130000.0
2022-07-24,130000.0
2022-07-25,130000.0
2022-07-26,130000.0
2022-07-27,130000.0
2022-07-28,130000.0
2022-07-29,130000.0
2022-07-30,130000.0
2022-07-31,130000.0
2022-08-01,130000.0
2022-08-02,130000.0
2022-08-03,130000.0
2022-08-04,130000.0
2022-08-05,130000.0
2022-08-06,130000.0
2022-08-07,130000.0
2022-08-08,130000.0
2022-08-09,130000.0
2022-08-10,130000.0
2022-08-11,130000.0
2022-08-12,130000.0
2022-08-13,130000.0
2022-08-14,130000.0
2022-08-15,130000.0
2022-08-16,130000.0
2022-08-17,130000.0
2022-08-18,130000.0
2022-08-19,130000.0
2022-08-20,130000.0
2022-08-21,130000.0
2022-08-22,130000.0
2022-08-23,130000.0
2022-08-24,130000.0
2022-08-25,130000.0
2022-08-26,130000.0
2022-08-27,130000.0
2022-08-28,130000.0
2022-08-29,130000.0
2022-08-30,130000.0
2022-08-31,130000.0
2022-09-01,130000.0
2022-09-02,130000.0
2022-09-03,130000.0
2022-09-04,130000.0
2022-09-05,130000.0
2022-09-06,130000.0
2022-09-07,130000.0
2022-09-08,130000.0
2022-09-09,130000.0
2022-09-10,130000.0
2022-09-11,130000.0
2022-09-12,130000.0
2022-09-13,130000.0
2022-09-14,130000.0
2022-09-15,130000.0
2022-09-16,130000.0
2022-09-17,130000.0
2022-09-18,130000.0
2022-09-19,130000.0
2022-09-20,130000.0
2022-09-21,130000.0
2022-09-22,130000.0
2022-09-23,130000.0
2022-09-24,130000.0
2022-09-25,130000.0
2022-09-26,130000.0
2022-09-27,130000.0
2022-09-28,130000.0
2022-09-29,130000.0
2022-09-30,130000.0
2022-10-01,130000.0
2022-10-02,130000.0
2022-10-03,130000.0
2022-10-04,130000.0
2022-10-05,130000.0
2022-10-06,130000.0
2022-10-07,130000.0
2022-10-08,130000.0
2022-10-09,130000.0
2022-10-10,130000.0
2022-10-11,130000.0
2022-10-12,130000.0
2022-10-13,130000.0
2022-10-14,130000.0
2022-10-15,130000.0
2022-10-16,130000.0
2022-10-17,130000.0
2022-10-18,130000.0
2022-10-19,130000.0
2022-10-20,130000.0
2022-10-21,130000.0
2022-10-22,130000.0
2022-10-23,130000.0
2022-10-24,130000.0
2022-10-25,130000.0
2022-10-26,130000.0
2022-10-27,130000.0
2022-10-28,130000.0
2022-10-29,130000.0
2022-10-30,130000.0
2022-10-31,130000.0
2022-11-01,130000.0
2022-11-02,130000.0
2022-11-03,130000.0
2022-11-04,130000.0
2022-11-05,130000.0
2022-11-06,130000.0
2022-11-07,130000.0
2022-11-08,130000.0
2022-11-09,130000.0
2022-11-10,130000.0
2022-11-11,130000.0
2022-11-12,130000.0
2022-11-13,130000.0
2022-11-14,130000.0
2022-11-15,130000.0
2022-11-16,130000.0
2022-11-17,130000.0
2022-11-18,130000.0
2022-11-19,130000.0
2022-11-20,130000.0
2022-11-21,130000.0
2022-11-22,130000.0
2022-11-23,130000.0
2022-11-24,130000.0
2022-11-25,130000.0
2022-11-26,130000.0
2022-11-27,130000.0
2022-11-28,130000.0
2022-11-29,130000.0
2022-11-30,130000.0
2022-12-01,130000.0
2022-12-02,130000.0
2022-12-03,130000.0
2022-12-04,130000.0
2022-12-05,130000.0
2022-12-06,130000.0
2022-12-07,130000.0
2022-12-08,130000.0
2022-12-09,130000.0
2022-12-10,130000.0
2022-12-11,130000.0
2022-12-12,130000.0
2022-12-13,130000.0
2022-12-14,130000.0
2022-12-15,130000.0
2022-12-16,130000.0
2022-12-17,130000.0
2022-12-18,130000.0
2022-12-19,130000.0
2022-12-20,130000.0
2022-12-21,130000.0
2022-12-22,130000.0
2022-12-23,130000.0
2022-12-24,130000.0
2022-12-25,130000.0
2022-12-26,130000.0
2022-12-27,130000.0
2022-12-28,130000.0
2022-12-29,130000.0
2022-12-30,130000.0
2022-12-31,130000.0
2023-01-01,130000.0
2023-01-02,130000.0
2023-01-03,130000.0
2023-01-04,130000.0
2023-01-05,130000.0
2023-01-06,130000.0
2023-01-07,130000.0
2023-01-08,130000.0
2023-01-09,130000.0
2023-01-10,130000.0
2023-01-11,130000.0
2023-01-12,130000.0
2023-01-13,130000.0
2023-01-14,130000.0
2023-01-15,130000.0
2023-01-16,130000.0
2023-01-17,130000.0
2023-01-18,130000.0
2023-01-19,130000.0
2023-01-20,130000.0
2023-01-21,130000.0
2023-01-22,130000.0
2023-01-23,130000.0
2023-01-24,130000.0
2023-01-25,130000.0
2023-01-26,130000.0
2023-01-27,130000.0
2023-01-28,130000.0
2023-01-29,130000.0
2023-01-30,130000.0
2023-01-31,130000.0
2023-02-01,130000.0
2023-02-02,130000.0
2023-02-03,130000.0
2023-02-04,130000.0
2023-02-05,130000.0
2023-02-06,130000.0
2023-02-07,130000.0
2023-02-08,130000.0
2023-02-09,130000.0
2023-02-10,130000.0
2023-02-11,130000.0
2023-02-12,130000.0
2023-02-13,130000.0
2023-02-14,130000.0
2023-02-15,130000.0
2023-02-16,130000.0
2023-02-17,130000.0
2023-02-18,130000.0
2023-02-19,130000.0
2023-02-20,130000.0
2023-02-21,130000.0
2023-02-22,130000.0
2023-02-23,130000.0
2023-02-24,130000.0
2023-02-25,130000.0
2023-02-26,130000.0
2023-02-27,130000.0
2023-02-28,130000.0
2023-03-01,130000.0
2023-03-02,130000.0
2023-03-03,130000.0
2023-03-04,130000.0
2023-03-05,130000.0
2023-03-06,130000.0
2023-03-07,130000.0
2023-03-08,130000.0
2023-03-09,130000.0
2023-03-10,130000.0
2023-03-11,130000.0
2023-03-12,130000.0
2023-03-13,130000.0
2023-03-14,130000.0
2023-03-15,130000.0
2023-03-16,130000.0
2023-03-17,130000.0
2023-03-18,130000.0
2023-03-19,130000.0
2023-03-20,130000.0
2023-03-21,130000.0
2023-03-22,130000.0
2023-03-23,130000.0
2023-03-24,130000.0
2023-03-25,130000.0
2023-03-26,135000.0
2023-03-27,135000.0
2023-03-28,135000.0
2023-03-29,130000.0
2023-03-30,130000.0
2023-03-31,130000.0
2023-04-01,130000.0
2023-04-02,130000.0
2023-04-03,130000.0
2023-04-04,130000.0
2023-04-05,130000.0
2023-04-06,130000.0
2023-04-07,130000.0
2023-04-08,135000.0
2023-04-09,135000.0
2023-04-10,135000.0
2023-04-11,135000.0
2023-04-12,135000.0
2023-04-13,135000.0
2023-04-14,135000.0
2023-04-15,135000.0
2023-04-16,135000.0
2023-04-17,135000.0
2023-04-18,135000.0
2023-04-19,140000.0
2023-04-20,140000.0
2023-04-21,145000.0
2023-04-22,145000.0
2023-04-23,145000.0
2023-04-24,145000.0
2023-04-25,145000.0
2023-04-26,145000.0
2023-04-27,140000.0
2023-04-28,137500.0
2023-04-29,135000.0
2023-04-30,135000.0
2023-05-01,135000.0
2023-05-02,130000.0
2023-05-03,130000.0
2023-05-04,130000.0
2023-05-05,130000.0
2023-05-06,130000.0
2023-05-07,130000.0
2023-05-08,130000.0
2023-05-09,130000.0
2023-05-10,130000.0
2023-05-11,130000.0
2023-05-12,130000.0
2023-05-13,130000.0
2023-05-14,130000.0
2023-05-15,130000.0
2023-05-16,130000.0
2023-05-17,130000.0
2023-05-18,130000.0
2023-05-19,130000.0
2023-05-20,130000.0
2023-05-21,130000.0
2023-05-22,130000.0
2023-05-23,130000.0
2023-05-24,130000.0
2023-05-25,130000.0
2023-05-26,130000.0
2023-05-27,130000.0
2023-05-28,130000.0
2023-05-29,130000.0
2023-05-30,130000.0
2023-05-31,130000.0
2023-06-01,130000.0
2023-06-02,130000.0
2023-06-03,130000.0
2023-06-04,130000.0
2023-06-05,130000.0
2023-06-06,130000.0
2023-06-07,130000.0
2023-06-08,130000.0
2023-06-09,130000.0
2023-06-10,130000.0
2023-06-11,130000.0
2023-06-12,130000.0
2023-06-13,130000.0
2023-06-14,130000.0
2023-06-15,130000.0
2023-06-16,130000.0
2023-06-17,130000.0
2023-06-18,130000.0
2023-06-19,130000.0
2023-06-20,130000.0
2023-06-21,130000.0
2023-06-22,130000.0
2023-06-23,130000.0
2023-06-24,130000.0
2023-06-25,130000.0
2023-06-26,130000.0
2023-06-27,130000.0
2023-06-28,130000.0
2023-06-29,130000.0
2023-06-30,130000.0
2023-07-01,130000.0
2023-07-02,130000.0
2023-07-03,130000.0
2023-07-04,130000.0
2023-07-05,130000.0
2023-07-06,130000.0
2023-07-07,130000.0
2023-07-08,130000.0
2023-07-09,130000.0
2023-07-10,130000.0
2023-07-11,130000.0
2023-07-12,130000.0
2023-07-13,130000.0
2023-07-14,130000.0
2023-07-15,130000.0
2023-07-16,130000.0
2023-07-17,130000.0
2023-07-18,130000.0
2023-07-19,130000.0
2023-07-20,130000.0
2023-07-21,130000.0
2023-07-22,130000.0
2023-07-23,130000.0
2023-07-24,130000.0
2023-07-25,130000.0
2023-07-26,130000.0
2023-07-27,130000.0
2023-07-28,130000.0
2023-07-29,130000.0
2023-07-30,130000.0
2023-07-31,130000.0
2023-08-01,130000.0
2023-08-02,130000.0
2023-08-03,130000.0
2023-08-04,130000.0
2023-08-05,130000.0
2023-08-06,130000.0
2023-08-07,130000.0
2023-08-08,130000.0
2023-08-09,130000.0
2023-08-10,130000.0
2023-08-11,130000.0
2023-08-12,130000.0
2023-08-13,130000.0
2023-08-14,130000.0
2023-08-15,130000.0
2023-08-16,130000.0
2023-08-17,130000.0
2023-08-18,130000.0
2023-08-19,130000.0
2023-08-20,130000.0
2023-08-21,130000.0
2023-08-22,130000.0
2023-08-23,130000.0
2023-08-24,130000.0
2023-08-25,130000.0
2023-08-26,130000.0
2023-08-27,130000.0
2023-08-28,130000.0
2023-08-29,130000.0
2023-08-30,130000.0
2023-08-31,130000.0
2023-09-01,130000.0
2023-09-02,130000.0
2023-09-03,130000.0
2023-09-04,130000.0
2023-09-05,130000.0
2023-09-06,130000.0
2023-09-07,130000.0
2023-09-08,130000.0
2023-09-09,130000.0
2023-09-10,130000.0
2023-09-11,130000.0
2023-09-12,130000.0
2023-09-13,130000.0
2023-09-14,130000.0
2023-09-15,130000.0
2023-09-16,130000.0
2023-09-17,130000.0
2023-09-18,130000.0
2023-09-19,130000.0
2023-09-20,130000.0
2023-09-21,130000.0
2023-09-22,130000.0
2023-09-23,130000.0
2023-09-24,130000.0
2023-09-25,130000.0
2023-09-26,130000.0
2023-09-27,130000.0
2023-09-28,130000.0
2023-09-29,130000.0
2023-09-30,130000.0
2023-10-01,130000.0
2023-10-02,130000.0
2023-10-03,130000.0
2023-10-04,130000.0
2023-10-05,130000.0
2023-10-06,130000.0
2023-10-07,130000.0
2023-10-08,130000.0
2023-10-09,130000.0
2023-10-10,130000.0
2023-10-11,130000.0
2023-10-12,130000.0
2023-10-13,130000.0
2023-10-14,130000.0
2023-10-15,130000.0
2023-10-16,130000.0
2023-10-17,130000.0
2023-10-18,130000.0
2023-10-19,130000.0
2023-10-20,130000.0
2023-10-21,130000.0
2023-10-22,130000.0
2023-10-23,130000.0
2023-10-24,130000.0
2023-10-25,130000.0
2023-10-26,130000.0
2023-10-27,130000.0
2023-10-28,130000.0
2023-10-29,130000.0
2023-10-30,130000.0
2023-10-31,130000.0
2023-11-01,130000.0
2023-11-02,130000.0
2023-11-03,130000.0
2023-11-04,130000.0
2023-11-05,130000.0
2023-11-06,130000.0
2023-11-07,130000.0
2023-11-08,130000.0
2023-11-09,130000.0
2023-11-10,130000.0
2023-11-11,130000.0
2023-11-12,130000.0
2023-11-13,130000.0
2023-11-14,130000.0
2023-11-15,130000.0
2023-11-16,130000.0
2023-11-17,130000.0
2023-11-18,130000.0
2023-11-19,130000.0
2023-11-20,130000.0
2023-11-21,130000.0
2023-11-22,130000.0
2023-11-23,130000.0
2023-11-24,130000.0
2023-11-25,130000.0
2023-11-26,130000.0
2023-11-27,130000.0
2023-11-28,130000.0
2023-11-29,130000.0
2023-11-30,130000.0
2023-12-01,130000.0
2023-12-02,130000.0
2023-12-03,130000.0
2023-12-04,130000.0
